Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
JAK2		8	8	1370	0.6%	Yes
CIC		23	22	1370	1.6%	Yes
JAK3		8	7	1370	0.5%	Yes
IKBKE		5	5	1370	0.4%	Yes
JAK1		27	25	1370	1.8%	Yes
DUSP4		4	4	1370	0.3%	Yes
UPF1		12	11	1370	0.8%	Yes
IFNGR1		6	6	1370	0.4%	Yes
TET2		22	21	1370	1.5%	Yes
RRAS2		3	3	1370	0.2%	Yes
TET1		17	17	1370	1.2%	Yes
PAX5		5	5	1370	0.4%	Yes
NCOR1		21	20	1370	1.5%	Yes
SDHAF2		2	2	1370	0.1%	Yes
RARA		5	5	1370	0.4%	Yes
POT1		2	2	1370	0.1%	Yes
PPARG		1	1	1370	<0.1%	Yes
FH		6	6	1370	0.4%	Yes
GPS2		1	1	1370	<0.1%	Yes
CENPA		2	2	1370	0.1%	Yes
EGFR		12	12	1370	0.9%	Yes
RECQL4		13	13	1370	0.9%	Yes
NSD3		7	7	1370	0.5%	Yes
NRAS		31	31	1370	2.3%	Yes
H3C13		1	1	1370	<0.1%	Yes
EPCAM		3	3	1370	0.2%	Yes
H3C11		6	6	1370	0.4%	Yes
NSD1		17	16	1370	1.2%	Yes
NSD2		13	12	1370	0.9%	Yes
H3C12		2	2	1370	0.1%	Yes
SPOP		2	2	1370	0.1%	Yes
PMS2		4	4	1370	0.3%	Yes
H3C10		2	2	1370	0.1%	Yes
RICTOR		16	15	1370	1.1%	Yes
SF3B1		37	36	1370	2.6%	Yes
PMS1		8	8	1370	0.6%	Yes
BRD4		15	15	1370	1.1%	Yes
CDKN2C		6	6	1370	0.4%	Yes
CDKN2A		65	62	1370	4.5%	Yes
STAT3		3	3	1370	0.2%	Yes
RYBP		4	4	1370	0.3%	Yes
WT1		9	8	1370	0.6%	Yes
INHA		3	3	1370	0.2%	Yes
CRLF2		1	1	1370	<0.1%	Yes
CSF3R		6	6	1370	0.4%	Yes
MRE11		3	3	1370	0.2%	Yes
IRS1		16	16	1370	1.2%	Yes
MSI1		3	3	1370	0.2%	Yes
IRS2		19	17	1370	1.2%	Yes
STK19		2	2	1370	0.1%	Yes
MSI2		4	4	1370	0.3%	Yes
FGF3		2	2	1370	0.1%	Yes
FGF4		3	3	1370	0.2%	Yes
STK11		41	41	1370	3.0%	Yes
CYSLTR2		1	1	1370	<0.1%	Yes
SESN3		4	3	1370	0.2%	Yes
CDH1		15	14	1370	1.0%	Yes
SESN1		4	4	1370	0.3%	Yes
SESN2		5	5	1370	0.4%	Yes
PIM1		1	1	1370	<0.1%	Yes
NBN		13	13	1370	0.9%	Yes
KMT5A		2	2	1370	0.1%	Yes
ROS1		19	19	1370	1.4%	Yes
MEN1		8	8	1370	0.6%	Yes
MAP2K4		15	14	1370	1.0%	Yes
USP8		4	4	1370	0.3%	Yes
RNF43		23	20	1370	1.5%	Yes
MAP2K1		12	11	1370	0.8%	Yes
MAP2K2		3	3	1370	0.2%	Yes
EIF1AX		1	1	1370	<0.1%	Yes
FBXW7		22	22	1370	1.6%	Yes
TAP2		10	8	1370	0.6%	Yes
TAP1		5	5	1370	0.4%	Yes
MITF		7	7	1370	0.5%	Yes
FOXP1		13	12	1370	0.9%	Yes
MSH6		16	14	1370	1.0%	Yes
MSH2		12	11	1370	0.8%	Yes
SMO		9	8	1370	0.6%	Yes
MSH3		9	9	1370	0.7%	Yes
ERF		5	5	1370	0.4%	Yes
SRSF2		4	4	1370	0.3%	Yes
PGR		19	18	1370	1.3%	Yes
ERG		7	7	1370	0.5%	Yes
NOTCH2		18	16	1370	1.2%	Yes
CSF1R		9	9	1370	0.7%	Yes
NOTCH3		24	24	1370	1.8%	Yes
KMT2D		72	64	1370	4.7%	Yes
CD274		4	4	1370	0.3%	Yes
BLM		5	5	1370	0.4%	Yes
DNMT1		10	10	1370	0.7%	Yes
NOTCH1		21	20	1370	1.5%	Yes
CBFB		2	2	1370	0.1%	Yes
KMT2A		45	42	1370	3.1%	Yes
MAX		3	3	1370	0.2%	Yes
NOTCH4		24	23	1370	1.7%	Yes
CUL3		9	7	1370	0.5%	Yes
ANKRD11		26	24	1370	1.8%	Yes
KMT2C		75	69	1370	5.0%	Yes
KMT2B		40	29	1370	2.1%	Yes
CYP19A1		3	3	1370	0.2%	Yes
FOXO1		9	9	1370	0.7%	Yes
SOCS1		2	2	1370	0.1%	Yes
ATXN7		2	2	1370	0.1%	Yes
ABL1		15	15	1370	1.1%	Yes
TNFRSF14		2	2	1370	0.1%	Yes
SMYD3		2	2	1370	0.1%	Yes
NADK		2	2	1370	0.1%	Yes
MCL1		1	1	1370	<0.1%	Yes
CD276		3	3	1370	0.2%	Yes
FANCA		6	6	1370	0.4%	Yes
FANCC		3	3	1370	0.2%	Yes
PALB2		16	16	1370	1.2%	Yes
PTPRD		33	33	1370	2.4%	Yes
CDK8		3	3	1370	0.2%	Yes
BCL6		8	7	1370	0.5%	Yes
CDK4		2	2	1370	0.1%	Yes
RHEB		1	1	1370	<0.1%	Yes
ALB		19	18	1370	1.3%	Yes
BCL2		4	4	1370	0.3%	Yes
MDM2		5	5	1370	0.4%	Yes
NF1		58	48	1370	3.5%	Yes
MDM4		3	3	1370	0.2%	Yes
NF2		15	15	1370	1.1%	Yes
LZTR1		2	2	1370	0.1%	Yes
MAP3K13		8	8	1370	0.6%	Yes
MYD88		1	1	1370	<0.1%	Yes
NFE2L2		28	28	1370	2.0%	Yes
ALK		19	19	1370	1.4%	Yes
FLT1		11	10	1370	0.7%	Yes
FLT3		10	10	1370	0.7%	Yes
FLT4		22	21	1370	1.5%	Yes
PTEN		31	26	1370	1.9%	Yes
PIK3CD		6	6	1370	0.4%	Yes
PIK3C2G		8	8	1370	0.6%	Yes
PIK3CB		15	14	1370	1.0%	Yes
PIK3CG		15	15	1370	1.1%	Yes
CDC73		5	5	1370	0.4%	Yes
PPP6C		3	3	1370	0.2%	Yes
DNMT3B		5	5	1370	0.4%	Yes
NKX3-1		2	1	1370	<0.1%	Yes
DIS3		12	12	1370	0.9%	Yes
ATRX		25	25	1370	1.8%	Yes
DNMT3A		14	14	1370	1.0%	Yes
FOXL2		8	6	1370	0.4%	Yes
TRAF2		9	9	1370	0.7%	Yes
PTP4A1		2	2	1370	0.1%	Yes
TRAF7		12	11	1370	0.8%	Yes
PIK3CA		72	67	1370	4.9%	Yes
PIK3C3		9	9	1370	0.7%	Yes
TOP1		4	4	1370	0.3%	Yes
SOS1		14	14	1370	1.0%	Yes
MET		11	11	1370	0.8%	Yes
BIRC3		4	4	1370	0.3%	Yes
CEBPA		6	6	1370	0.4%	Yes
SMARCD1		2	2	1370	0.1%	Yes
SRC		10	10	1370	0.7%	Yes
MLLT1		1	1	1370	<0.1%	Yes
U2AF1		18	18	1370	1.3%	Yes
PPM1D		4	4	1370	0.3%	Yes
MALT1		6	6	1370	0.4%	Yes
CDC42		1	1	1370	<0.1%	Yes
DNAJB1		2	2	1370	0.1%	Yes
ZNRF3		2	2	1370	0.1%	Yes
E2F3		3	3	1370	0.2%	Yes
FYN		6	6	1370	0.4%	Yes
SH2B3		7	6	1370	0.4%	Yes
NTRK1		14	14	1370	1.0%	Yes
SMARCE1		1	1	1370	<0.1%	Yes
NTRK2		20	20	1370	1.5%	Yes
NTRK3		23	22	1370	1.6%	Yes
MGA		20	20	1370	1.5%	Yes
PTPN11		7	7	1370	0.5%	Yes
KLF4		8	8	1370	0.6%	Yes
MTOR		15	14	1370	1.0%	Yes
TBX3		8	8	1370	0.6%	Yes
PNRC1		5	5	1370	0.4%	Yes
RAD52		5	5	1370	0.4%	Yes
ASXL1		21	21	1370	1.5%	Yes
RAD50		10	10	1370	0.7%	Yes
KLF5		3	3	1370	0.2%	Yes
RAD51		4	4	1370	0.3%	Yes
APC		47	41	1370	3.0%	Yes
ASXL2		11	11	1370	0.8%	Yes
PDCD1		5	5	1370	0.4%	Yes
BCOR		24	24	1370	1.8%	Yes
EIF4A2		6	6	1370	0.4%	Yes
ERRFI1		20	18	1370	1.3%	Yes
SMARCB1		7	7	1370	0.5%	Yes
KEAP1		28	26	1370	1.9%	Yes
IKZF1		10	10	1370	0.7%	Yes
CRKL		1	1	1370	<0.1%	Yes
SOX2		5	5	1370	0.4%	Yes
RPS6KA4		7	7	1370	0.5%	Yes
PPP2R1A		9	9	1370	0.7%	Yes
CHEK2		7	6	1370	0.4%	Yes
CHEK1		2	2	1370	0.1%	Yes
KDR		19	18	1370	1.3%	Yes
SOX9		17	17	1370	1.2%	Yes
B2M		9	8	1370	0.6%	Yes
EPHB1		18	17	1370	1.2%	Yes
TP63		11	11	1370	0.8%	Yes
ICOSLG		3	3	1370	0.2%	Yes
ACVR1		6	6	1370	0.4%	Yes
EPHA5		28	26	1370	1.9%	Yes
EPHA7		21	21	1370	1.5%	Yes
HLA-B		5	5	1370	0.4%	Yes
RECQL		4	4	1370	0.3%	Yes
HLA-A		5	5	1370	0.4%	Yes
HNF1A		6	5	1370	0.4%	Yes
RUNX1		6	6	1370	0.4%	Yes
INPP4A		5	5	1370	0.4%	Yes
INPP4B		10	10	1370	0.7%	Yes
RRAGC		5	5	1370	0.4%	Yes
BTK		11	10	1370	0.7%	Yes
CCNQ		2	2	1370	0.1%	Yes
TP53		491	466	1370	34.0%	Yes
EPHA3		27	23	1370	1.7%	Yes
RTEL1		4	4	1370	0.3%	Yes
EPAS1		4	4	1370	0.3%	Yes
CTR9		2	2	1370	0.1%	Yes
DCUN1D1		2	2	1370	0.1%	Yes
PIK3R3		2	2	1370	0.1%	Yes
PIK3R2		7	6	1370	0.4%	Yes
MST1R		11	10	1370	0.7%	Yes
PIK3R1		20	19	1370	1.4%	Yes
CD79A		6	6	1370	0.4%	Yes
BRIP1		12	12	1370	0.9%	Yes
RRAS		2	2	1370	0.1%	Yes
PGBD5		2	2	1370	0.1%	Yes
H3C1		4	4	1370	0.3%	Yes
H3C3		3	3	1370	0.2%	Yes
TP53BP1		12	12	1370	0.9%	Yes
H3C2		5	5	1370	0.4%	Yes
H3C4		1	1	1370	<0.1%	Yes
RBM10		25	25	1370	1.8%	Yes
H3C7		2	2	1370	0.1%	Yes
H3C6		2	2	1370	0.1%	Yes
STAT5A		4	4	1370	0.3%	Yes
STAT5B		8	7	1370	0.5%	Yes
ZRSR2		13	13	1370	0.9%	Yes
WWTR1		2	2	1370	0.1%	Yes
YES1		2	2	1370	0.1%	Yes
SETDB1		5	5	1370	0.4%	Yes
FOXF1		1	1	1370	<0.1%	Yes
INSR		12	12	1370	0.9%	Yes
XRCC2		2	2	1370	0.1%	Yes
SH2D1A		2	2	1370	0.1%	Yes
IGF2		2	2	1370	0.1%	Yes
IGF1		1	1	1370	<0.1%	Yes
SMARCA2		4	4	1370	0.3%	Yes
SMARCA4		37	36	1370	2.6%	Yes
STAG2		6	6	1370	0.4%	Yes
FUBP1		8	7	1370	0.5%	Yes
SPRTN		1	1	1370	<0.1%	Yes
ID3		1	1	1370	<0.1%	Yes
ATM		80	74	1370	5.4%	Yes
CALR		7	7	1370	0.5%	Yes
BAP1		118	117	1370	8.5%	Yes
ATR		25	23	1370	1.7%	Yes
PTPRT		31	30	1370	2.2%	Yes
PTPRS		31	29	1370	2.1%	Yes
BRCA1		12	12	1370	0.9%	Yes
BRCA2		32	29	1370	2.1%	Yes
RPTOR		16	16	1370	1.2%	Yes
XPO1		13	13	1370	0.9%	Yes
SUFU		3	3	1370	0.2%	Yes
RAC2		1	1	1370	<0.1%	Yes
RAC1		5	5	1370	0.4%	Yes
HRAS		3	3	1370	0.2%	Yes
H3-3A		3	3	1370	0.2%	Yes
H3-3B		3	3	1370	0.2%	Yes
IL10		2	1	1370	<0.1%	Yes
H3C8		3	3	1370	0.2%	Yes
PBRM1		97	95	1370	6.9%	Yes
PARP1		11	9	1370	0.7%	Yes
SYK		6	6	1370	0.4%	Yes
NCOA3		12	12	1370	0.9%	Yes
MST1		3	3	1370	0.2%	Yes
GAB2		2	2	1370	0.1%	Yes
PDCD1LG2		1	1	1370	<0.1%	Yes
RHOA		3	3	1370	0.2%	Yes
RAD51B		3	3	1370	0.2%	Yes
RAD51D		2	2	1370	0.1%	Yes
RAD51C		3	3	1370	0.2%	Yes
CSDE1		9	8	1370	0.6%	Yes
KIT		12	12	1370	0.9%	Yes
STK40		4	4	1370	0.3%	Yes
DDR2		10	9	1370	0.7%	Yes
PRKN		6	6	1370	0.4%	Yes
YAP1		5	5	1370	0.4%	Yes
AMER1		15	14	1370	1.0%	Yes
DOT1L		17	17	1370	1.2%	Yes
XIAP		1	1	1370	<0.1%	Yes
TMPRSS2		2	2	1370	0.1%	Yes
CXCR4		3	3	1370	0.2%	Yes
ALOX12B		7	6	1370	0.4%	Yes
PAK1		2	2	1370	0.1%	Yes
RXRA		3	3	1370	0.2%	Yes
SLX4		15	15	1370	1.1%	Yes
RAD54L		4	4	1370	0.3%	Yes
SHOC2		3	3	1370	0.2%	Yes
PAK5		14	14	1370	1.0%	Yes
SUZ12		9	9	1370	0.7%	Yes
NPM1		1	1	1370	<0.1%	Yes
MAP3K1		16	15	1370	1.1%	Yes
H2BC5		1	1	1370	<0.1%	Yes
MLH1		10	9	1370	0.7%	Yes
VEGFA		3	3	1370	0.2%	Yes
MAD2L2		1	1	1370	<0.1%	Yes
ETAA1		1	1	1370	<0.1%	Yes
KBTBD4		2	2	1370	0.1%	Yes
RIT1		4	4	1370	0.3%	Yes
AXL		8	8	1370	0.6%	Yes
CTNNB1		142	132	1370	9.6%	Yes
TRIP13		1	1	1370	<0.1%	Yes
FOXA1		5	5	1370	0.4%	Yes
INPPL1		7	6	1370	0.4%	Yes
MPL		10	10	1370	0.7%	Yes
PRDM1		3	3	1370	0.2%	Yes
ARHGAP35		3	3	1370	0.2%	Yes
IGF1R		20	20	1370	1.5%	Yes
CCND3		1	1	1370	<0.1%	Yes
CCND2		5	5	1370	0.4%	Yes
CCND1		2	2	1370	0.1%	Yes
EP300		28	27	1370	2.0%	Yes
ARID2		73	67	1370	4.9%	Yes
LMO1		1	1	1370	<0.1%	Yes
PDGFRB		8	7	1370	0.5%	Yes
PDGFRA		11	10	1370	0.7%	Yes
HGF		9	8	1370	0.6%	Yes
TSC2		33	31	1370	2.3%	Yes
ARID5B		8	8	1370	0.6%	Yes
SDHC		1	1	1370	<0.1%	Yes
TSC1		27	25	1370	1.8%	Yes
SDHD		1	1	1370	<0.1%	Yes
SDHA		6	5	1370	0.4%	Yes
SDHB		2	2	1370	0.1%	Yes
MYCL		3	3	1370	0.2%	Yes
MYCN		2	2	1370	0.1%	Yes
SHQ1		6	6	1370	0.4%	Yes
SLFN11		1	1	1370	<0.1%	Yes
CCNE1		1	1	1370	<0.1%	Yes
APLNR		2	2	1370	0.1%	Yes
SCG5		1	1	1370	<0.1%	Yes
RAF1		5	5	1370	0.4%	Yes
CARD11		7	7	1370	0.5%	Yes
HOXB13		3	3	1370	0.2%	Yes
COP1		8	8	1370	0.6%	Yes
TMEM127		2	2	1370	0.1%	Yes
PMAIP1		1	1	1370	<0.1%	Yes
SMAD2		7	7	1370	0.5%	Yes
ZFHX3		44	37	1370	2.7%	Yes
SMAD4		108	103	1370	7.5%	Yes
SMAD3		12	11	1370	0.8%	Yes
IDH1		141	141	1370	10.3%	Yes
PTCH1		9	8	1370	0.6%	Yes
IDH2		32	32	1370	2.3%	Yes
INHBA		1	1	1370	<0.1%	Yes
ESR1		5	4	1370	0.3%	Yes
PHOX2B		8	8	1370	0.6%	Yes
NFKBIA		5	4	1370	0.3%	Yes
GNAQ		2	2	1370	0.1%	Yes
FGF19		2	2	1370	0.1%	Yes
GNAS		18	18	1370	1.3%	Yes
TCF3		4	4	1370	0.3%	Yes
FGFR4		5	5	1370	0.4%	Yes
IL7R		9	9	1370	0.7%	Yes
FGFR3		8	8	1370	0.6%	Yes
FGFR2		42	41	1370	3.0%	Yes
BMPR1A		5	5	1370	0.4%	Yes
FGFR1		4	4	1370	0.3%	Yes
KDM5A		17	17	1370	1.2%	Yes
GSK3B		2	2	1370	0.1%	Yes
KDM5C		19	19	1370	1.4%	Yes
TNFAIP3		4	4	1370	0.3%	Yes
FLCN		10	10	1370	0.7%	Yes
SPRED1		6	6	1370	0.4%	Yes
CASP8		15	13	1370	0.9%	Yes
POLE		21	21	1370	1.5%	Yes
KDM6A		20	19	1370	1.4%	Yes
EGFL7		2	2	1370	0.1%	Yes
PDPK1		3	3	1370	0.2%	Yes
EED		5	5	1370	0.4%	Yes
AXIN1		41	39	1370	2.8%	Yes
ETV1		4	4	1370	0.3%	Yes
AXIN2		14	14	1370	1.0%	Yes
ARID1A		252	226	1370	16.5%	Yes
TENT5C		10	10	1370	0.7%	Yes
ARID1B		35	34	1370	2.5%	Yes
TGFBR1		20	19	1370	1.4%	Yes
ETV6		7	7	1370	0.5%	Yes
TGFBR2		32	32	1370	2.3%	Yes
LATS1		14	13	1370	0.9%	Yes
GREM1		1	1	1370	<0.1%	Yes
LATS2		11	10	1370	0.7%	Yes
ELF3		52	47	1370	3.4%	Yes
IRF4		3	3	1370	0.2%	Yes
MYOD1		2	2	1370	0.1%	Yes
RASA1		39	37	1370	2.7%	Yes
ABRAXAS1		3	3	1370	0.2%	Yes
CBL		9	9	1370	0.7%	Yes
AURKB		2	2	1370	0.1%	Yes
AURKA		1	1	1370	<0.1%	Yes
ERBB3		49	44	1370	3.2%	Yes
ERBB4		24	24	1370	1.8%	Yes
GNA11		1	1	1370	<0.1%	Yes
POLD1		10	10	1370	0.7%	Yes
ERBB2		40	36	1370	2.6%	Yes
MAPK1		7	7	1370	0.5%	Yes
DROSHA		9	9	1370	0.7%	Yes
VHL		2	2	1370	0.1%	Yes
MUTYH		2	2	1370	0.1%	Yes
MAPK3		6	6	1370	0.4%	Yes
SPEN		19	17	1370	1.2%	Yes
TCF7L2		8	8	1370	0.6%	Yes
NEGR1		8	8	1370	0.6%	Yes
TSHR		6	6	1370	0.4%	Yes
REST		1	1	1370	<0.1%	Yes
H3-5		2	2	1370	0.1%	Yes
H3-4		5	5	1370	0.4%	Yes
ERCC3		7	7	1370	0.5%	Yes
ERCC4		4	4	1370	0.3%	Yes
CARM1		3	3	1370	0.2%	Yes
ERCC2		14	13	1370	0.9%	Yes
RPS6KB2		5	5	1370	0.4%	Yes
ERCC5		10	9	1370	0.7%	Yes
KRAS		155	152	1370	11.1%	Yes
TEK		5	5	1370	0.4%	Yes
